"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEP85L (387119)",327.812640370276,-1.85297871377146,0.359416644379316,-5.15551726039678,2.52931740876177e-07,1.96704087904436e-05
"SIDT1 (54847)",1312.58039966616,5.71039547283601,1.10817397042286,5.1529774432953,2.56382814114014e-07,1.98250008992079e-05
"CEACAM6 (4680)",4753.18599993039,6.21580831576606,1.20666003860077,5.1512506562941,2.58755079232523e-07,1.98250008992079e-05
"OTOR (56914)",70.8986705923234,8.40785606185025,1.63223570667842,5.15112861913805,2.58923534027625e-07,1.98250008992079e-05
"MUC5AC (4586)",187.333542389672,4.39236273640946,0.853796173096339,5.14450974930037,2.68220324328692e-07,2.04315112696327e-05
"GOLGA3 (2802)",9196.83988410243,1.07340113997398,0.20889712656623,5.13841984146998,2.77058330763675e-07,2.09970634957328e-05
"HORMAD1 (84072)",196.224559808335,-7.86466632872051,1.5316295007165,-5.13483601944294,2.82390133356293e-07,2.12925027455552e-05
"ITGB8 (3696)",1286.92336984117,-4.11620968428978,0.802489559060543,-5.12929998629333,2.90821583464144e-07,2.18174939433151e-05
"GAS1 (2619)",1227.94892340534,-6.73015809581057,1.31243647582273,-5.12798769295985,2.9285558173384e-07,2.18596824677108e-05
"TOB1 (10140)",25032.384214646,4.19067363700302,0.82044160349297,5.1078268327222,3.25885096932483e-07,2.42034861491755e-05
"AOC1 (26)",428.756694687855,7.54007193074903,1.47850030260584,5.09981088097159,3.39993016787378e-07,2.51256530913419e-05
"RHOH (399)",208.459866186412,4.96850504995786,0.975060129196419,5.09558836546068,3.47659807343251e-07,2.55650434568151e-05
"NCAM1 (4684)",1279.74704350011,-5.98183456939105,1.17507506380638,-5.090597829567,3.56936357554396e-07,2.61178948527734e-05
"CPA4 (51200)",5728.91953226992,-6.44848968827273,1.26774315149338,-5.08659004047983,3.64558682906494e-07,2.65448758622209e-05
"VWF (7450)",141.477259797578,4.26544503469934,0.83928128185612,5.08225922215977,3.72971936098126e-07,2.70250006770808e-05
"FHL1 (2273)",2984.50596120782,-5.94237177224987,1.16977918227611,-5.07990897964816,3.77615748262712e-07,2.72286617703608e-05
"SMIM14 (201895)",8470.35129197832,3.27246395901201,0.644373374289652,5.07852138151973,3.80383629293966e-07,2.72957412054714e-05
"CCN3 (4856)",622.902139664159,-5.17499056737027,1.02126881473967,-5.06721687050575,4.0367428336514e-07,2.88277779091624e-05
"ACER1 (125981)",50.3630900250892,9.0978032870139,1.79712668247358,5.06241623127625,4.1397598009298e-07,2.94220057813451e-05
"SCGN (10590)",344.649608561456,7.30593073772375,1.44710616522576,5.04864875382792,4.44945945034215e-07,3.14725098454202e-05
"MZB1 (51237)",560.818061189599,5.40700495387884,1.07415221766864,5.0337418337359,4.80997348159232e-07,3.38613014670959e-05
